65	63	58	57
59      56	63	57
55      66	65	71
68      64	53	71
71      71	63	66
73      57	59	67
63      64	69	62
66      63	58	68
62      72	58	74
52      66	75	61
59      59	65	79
49      64	55	70
63      60	64	74
56      55	75	55
59      76	64	67
60      69	62	63
79      67	52	63
51      78	68	66
55      72	58	72
61      62	63	59
80      64	55	66
71      78	61	67
57      66	57	68
70      73	64	64
61      68	65	59
73      60	60	62
66      68	62	57
67      58	57	72
54      69	66	61
59      65	73	74
62      68	64	65
67      56	67	73
65      64	72	59
62      58	65	67
57      66	69	71
53      63	58	58
60      67	71	61
69      58	73	72
61      67	62	59
63      62	58	64
